10	Is Solar Power an Economical Alternative to Conventional Energy?	"""President Obama subsidized solar and other renewable energy in the United States with taxpayer money to the tune of $39 billion per year on average for the past 5 years. These massive subsidies, however, have done little to increase the contribution of solar power to the electricity generation mix as solar is expected to produce just 0.6 percent of electricity generation this year...   States also have also heavily subsidized the solar industry by offering tax breaks and 538 rebate programs. Twenty states have personal tax credits related to solar products, 18 states have corporate tax credit and deduction programs, and 14 states and Puerto Rico offer taxpayer-funded grants to support solar electricity. The 538 different state and local green energy rebate programs are intended to reduce the final cost of products including solar water heaters and grid-connected rooftop solar panels...   Government programs intended to drive down the cost of solar electricity have failed to make expensive sources of energy affordable. As result, instead of the consumer paying the full cost of solar-generated electricity, the government programs shift some of the cost to the taxpayer. Federal loans leave the taxpayer on the hook in cases where the loan is not repaid."""
10	Should Euthanasia or Physician-Assisted Suicide Be Legal?	"""The prohibition against killing patients... stands as the first promise of self-restraint sworn to in the Hippocratic Oath, as medicine's primary taboo: 'I will neither give a deadly drug to anybody if asked for it, nor will I make a suggestion to this effect'... In forswearing the giving of poison when asked for it, the Hippocratic physician rejects the view that the patient's choice for death can make killing him right. For the physician, at least, human life in living bodies commands respect and reverence--by its very nature."""
01	Should People Become Vegetarian?	“Let me offer five good reasons to go vegetarian that are worth considering by every kind and just person: First, we share with all animals the ability to feel joy, love, pain, loneliness, and the desire to avoid harm, so let’s relate to who is on our plate. Second, if we find it horrifying to imagine stepping into a factory farm, separating a mother cow from her calf and slitting the infant’s throat just so that we can experience the fleeting taste of a piece of meat, then we surely find something wrong with paying someone else – via our meat counter purchases – to do it for us. Third, it is impossible to talk about justice, understanding, and multiculturalism and to object to violence, exploitation, oppression, discrimination, and supremacism without choking if we are still trying to find a way to justify stealing the very lives from other individuals we consider ‘different.’ Fourth, meat is decomposing flesh from a body that was not given up without a struggle, fear, and suffering – unless we are eating roadkill from animals who died instantaneously and never knew what hit them. Five, it is so easy to switch to vegan living, because today we have cookbooks like Alicia Silverstone’s The Kind Diet; vegan fast food like Taco Bell’s 7-Layer Burrito (hold the dairy); an endless variety of ethnic restaurants (e.g., Italian, Ethiopian, Japanese, Szechuan, Indian); and supermarkets that sell protein-packed and cholesterol-free taste-alikes (e.g., soy sausage, fakin’ ‘bacon,’ vegan ‘cheese’ pizzas, and faux chicken) just in case we ever get a craving for the taste of meat or dairy products – and all of them come without the factory farming, environmental destruction, cruelty, and other ugly, dirty aspects of using animals as food.”
01	Should the Drinking Age Be Lowered from 21 to a Younger Age?	“It’s time to rethink the drinking age… Twenty-one is not working. A culture of dangerous, clandestine ‘binge-drinking’—often conducted off-campus—has developed. Alcohol education that mandates abstinence as the only legal option has not resulted in significant constructive behavioral change among our students. Adults under 21 are deemed capable of voting, signing contracts, serving on juries and enlisting in the military, but are told they are not mature enough to have a beer. By choosing to use fake IDs, students make ethical compromises that erode respect for the law. We call upon our elected officials: To support an informed and dispassionate public debate over the effects of the 21 year-old drinking age [and] to invite new ideas about the best ways to prepare young adults to make responsible decisions about alcohol.”
01	Should Students Have to Wear School Uniforms?	"Students can express their individuality in school uniforms by introducing variations and adding accessories. Junior high school student Amelia Jimenez wrote in her op-ed for the Pennsylvania Patriot-News website that ""contrary to popular belief, uniforms do not stop students from being themselves. Uniforms do not silence voices. Students can wear a variety of expressive items, such as buttons or jewlery."" The Seventeen and TeenVogue websites list numerous suggestions for students on how to add their personal style to school uniforms, including hairstyle options, the use of nail polish, and the addition of colorful accessories such as satchels, scarfs, and socks. [61][62]TeenVogue stated that ""there are tons of ways to amp up your standard issue getup."" [62] A peer-reviewed study found that 54% of eighth-graders said they could still express their individuality while wearing school uniforms. [65] Read More"
10	"Does the Use of Performance Enhancing Drugs Violate the ""Spirit of Sport""?"	"""Some argue that taking drugs is 'against the spirit of sport.' But it is difficult to defend the current line between what athletes can and cannot do in order to enhance their performance.  In the Tour de France, cyclists can use overnight intravenous nutrition and hydration to restore their bodies. Training at high altitude is permitted, though it gives those athletes an edge over competitors who must train at sea level.  The World Anti-Doping Code no longer prohibits caffeine. In any case, performance-enhancement is...the very spirit of sport. We should allow athletes to pursue it by any safe means.  Moreover, I would argue that sport has no single 'spirit.' People play sports to socialize, for exercise, to keep fit, to earn money, to become famous, to prevent boredom, to find love, and for the sheer fun of it. They may strive to improve their performance, but often they do so for its own sake, for the sense of achievement."""
01	Do Standardized Tests Improve Education in America?	20 school systems that “have achieved significant, sustained, and widespread gains” on national and international assessments used “proficiency targets for each school” and “frequent, standardized testing to monitor system progress,” according to a Nov. 2010 report by McKinsey & Company, a global management consulting firm. [146] Read More
01	Does Lowering the Federal Corporate Income Tax Rate Create Jobs?	“The lowering of the corporate tax rate will provide much needed debt-free capitalization, new jobs (particularly in the high tech industry), and new tax revenue… A lower corporate tax rate increases American competitiveness while providing an increased flow of domestic, debt-free capital that will boost investments and production. In reality, a corporate income tax often serves as a second retail tax for consumers. The lowering of such a tax can reduce prices within a competitive environment, thus controlling inflation and increasing consumer purchasing power. A further benefit of lowering the tax is to allow for higher wages and benefits – two areas that often bear the burden for paying corporate income taxes.”
10	Is Marijuana an Effective Treatment for Crohn’s Disease, Ulcerative Colitis, or Other Inflammatory Bowel Diseases?	IBD [Inflammatory Bowel Disease] is an illness that lasts a lifetime, patients and their physicians should concentrate on discovering the cause of symptoms and pinpointing a treatment that will control them without causing adverse side effects. Using a substance such as marijuana to alleviate symptoms only masks the actual problem.”
01	Does Obamacare Require Payment Cuts to Medicare Advantage Plans (Medicare Part C)? - YES	"""[T]he Centers for Medicare and Medicaid Services (CMS) announced payment formulas that will cut payments to Medicare Advantage (MA) Plans in 2015. These include already-scheduled cuts legislated in the Patient Protection and Affordable Care Act (ACA), as well as regulatory decisions that also affect these rates...  Overall, the cuts average about $317, or 3.07 percent, per Medicare Advantage enrollee compared to the rates in effect for 2014. However, after a series of annual cuts, MA enrollees in the next year will face a benefits reduction of about $1,538, or 13.32 percent, below the level projected for 2015 in the pre-ACA baseline...  The ACA cuts to Medicare total $716 billion between 2013 and 2022. A large percentage of the cuts come about through changes to the payment formulas for the MA [Medicare Advantage] program, in which beneficiaries use their Medicare dollars to choose a privately-run health plan that best meets their needs."""
01	Is Golf a Sport?	"Sports agents, sponsors, and sporting goods manufacturers consider golf to be a sport. Nike's website calls golf a ""great sport"" and makes products to help ""athletes to perform at their physical and mental peak."" [17] Golfer Tiger Woods is the richest athlete in history and was the first athlete to surpass one billion dollars in career earnings (prize money and endorsements). [3] Woods has many sponsorships in common with athletes from other sports, including Gillette, Rolex, and NetJets. Golfers are often represented by agents from major sports management companies. [18] [19] Read More"
10	Should Animals Be Used for Scientific or Commercial Testing?	“The practice of experimenting on nonhuman animals as it exists today throughout the world reveals the consequences of speciesism. Many experiments inflict severe pain without the remotest prospect of significant benefits for human beings or any other animals. Such experiments are not isolated incidences, but part of a major industry… We tolerate cruelties inflicted on members of other species that would outrage us if performed on members of our own species. Speciesism allows researchers to regard the animals they experiment on as items of equipment, laboratory tools rather than living, suffering creatures. In fact, on grant applications to government funding agencies, animals are listed as ‘supplies’ alongside test tubes and recording instruments… The exploitation of laboratory animals is part of the larger problem of speciesism and it is unlikely to be eliminated altogether until speciesism itself is eliminated. Surely one day, though, our children’s children, reading about what was done in laboratories in the 20th Century, will feel the same sense of horror and incredulity at what otherwise civilized people could do that we now feel when we read about the atrocities of the Roman gladiatorial arenas or the eighteenth-century slave trade.”
10	Is Obamacare Financially Burdensome for Businesses? - DEBATED	"""The biggest entitlement legislation in a generation is causing barely a ripple in corporate America.   The Patient Protection and Affordable Care Act -- otherwise known as Obamacare -- is putting such a small dent in the profits of U.S. companies that many refer to its impact as 'not material' or 'not significant,' according to a Bloomberg review of conference-call transcripts and interviews with major U.S. employers.  That's even after a provision went into effect this year requiring companies with 50 or more full-time workers to provide coverage, and after more workers are choosing to enroll in existing company coverage because of another requirement that all Americans get insured...  The collective shrug from the nation's biggest employers undermines the arguments of Republicans, who call the law a job-killer as they seek its repeal.  While U.S. health-care costs continued to rise faster than inflation in the five years since the law was passed, their rate of growth has slowed. Employers spent an average of $11,204 per worker for health benefits in 2014, up 4.6 percent from a year earlier, according to Mercer LLC. That growth rate was 6.1 percent or more each year from 1998 to 2011."""
01	Should Any Vaccines Be Required for Children?	“The state [Texas] mandates childhood vaccines for enrollment in our schools because all children should have the opportunity to be educated in a safe and healthy environment. A twisted concept of parental personal liberty should not risk the health and safety of millions of schoolchildren… Cancers that are preventable should be prevented. Viruses that are preventable should be eradicated. And the safety and efficacy of vaccines are no longer subject to serious debate. They work, and Texas must make sure more of our citizens are immunized against preventable diseases.”
